"X","order_id","count_reorders","count_products"
"1",1,4,8
"2",170,6,17
"3",915,10,14
"4",1983,17,29
"5",2442,5,6
"6",2737,3,3
"7",2869,2,12
"8",3176,1,1
"9",3785,15,30
"10",4090,0,3
"11",4250,0,5
"12",4658,0,2
"13",4752,1,2
"14",4998,3,3
"15",5460,8,15
"16",5991,2,2
"17",6454,11,11
"18",6562,2,6
"19",6880,4,6
"20",8191,2,2
"21",9297,29,29
"22",9776,5,11
"23",12120,1,11
"24",12182,1,3
"25",13200,0,1
"26",15019,4,14
"27",17618,3,12
"28",17637,5,33
"29",19173,2,4
"30",19405,2,3
"31",19715,10,19
"32",20179,0,7
"33",20253,4,16
"34",21223,7,11
"35",21796,1,7
"36",21971,11,12
"37",22206,12,13
"38",22669,1,7
"39",23406,6,6
"40",24230,7,11
"41",25522,3,3
"42",26751,16,23
"43",27076,3,7
"44",27115,8,10
"45",27135,4,5
"46",28453,3,4
"47",28696,15,20
"48",28841,30,31
"49",29454,3,8
"50",30069,9,16
"51",30098,2,3
"52",30242,1,1
"53",30503,9,19
"54",30974,33,38
"55",32022,4,4
"56",32704,6,9
"57",33145,15,16
"58",35221,13,13
"59",37284,5,7
"60",38541,2,2
"61",39067,6,15
"62",39292,3,3
"63",39355,4,5
"64",39465,34,45
"65",39573,9,9
"66",40471,5,15
"67",41175,1,6
"68",42108,0,4
"69",43427,8,8
"70",44458,7,11
"71",44701,0,2
"72",45576,3,14
"73",45838,4,9
"74",47182,23,24
"75",47207,18,28
"76",47219,7,9
"77",48635,10,14
"78",49096,4,7
"79",49734,9,11
"80",50530,0,10
"81",50833,0,8
"82",51142,4,4
"83",51257,1,6
"84",51382,2,2
"85",51607,0,6
"86",51912,4,4
"87",52794,2,9
"88",53395,14,23
"89",53397,11,14
"90",53494,0,4
"91",53832,3,3
"92",53912,2,6
"93",55071,4,5
"94",55192,5,11
"95",56815,16,20
"96",58743,9,10
"97",59027,4,4
"98",59410,1,1
"99",59418,3,3
"100",59522,12,18
"101",60463,6,8
"102",61899,14,14
"103",63153,2,11
"104",63475,3,11
"105",64604,1,1
"106",64952,8,9
"107",65438,6,12
"108",65579,7,7
"109",66601,4,9
"110",68069,1,1
"111",70464,4,10
"112",71810,10,20
"113",73206,1,7
"114",73265,3,13
"115",73939,9,13
"116",76418,16,18
"117",77778,6,10
"118",77843,8,8
"119",78244,9,25
"120",78558,1,5
"121",79718,5,9
"122",80847,0,7
"123",81513,2,5
"124",82430,2,16
"125",82519,12,14
"126",82632,14,16
"127",84402,4,7
"128",84629,1,20
"129",86491,4,9
"130",87097,5,5
"131",87521,0,2
"132",87622,4,27
"133",88727,20,24
"134",88768,15,23
"135",90627,4,10
"136",90826,9,11
"137",91649,1,6
"138",92688,3,3
"139",93327,4,12
"140",96429,10,17
"141",96612,1,2
"142",96708,1,5
"143",96903,0,3
"144",97185,9,17
"145",97631,9,10
"146",98023,8,9
"147",98071,1,7
"148",98257,1,1
"149",99543,0,1
"150",100248,2,3
"151",100586,4,16
"152",100772,4,12
"153",101249,5,8
"154",101536,8,24
"155",102360,14,21
"156",103529,2,5
"157",103692,6,9
"158",103869,1,1
"159",103905,4,12
"160",105354,3,8
"161",106940,0,3
"162",107392,7,7
"163",107495,12,20
"164",107911,2,7
"165",108438,5,13
"166",108626,0,1
"167",109245,18,24
"168",110229,15,16
"169",111079,3,4
"170",112413,8,13
"171",113903,16,21
"172",114630,0,6
"173",114884,3,13
"174",115396,12,17
"175",116798,2,9
"176",118960,9,10
"177",118984,2,3
"178",119952,7,21
"179",120521,1,4
"180",121423,10,12
"181",121581,8,14
"182",121609,5,9
"183",122100,8,10
"184",123395,18,24
"185",123546,6,6
"186",124163,1,2
"187",124631,2,4
"188",125096,4,18
"189",125323,0,1
"190",125590,1,3
"191",127877,4,9
"192",128769,18,26
"193",129226,2,4
"194",129361,5,5
"195",129588,8,12
"196",131121,1,1
"197",131861,2,26
"198",131916,3,5
"199",133391,6,13
"200",134035,12,12
"201",134408,0,2
"202",134443,16,21
"203",134837,5,12
"204",136772,8,12
"205",137461,8,10
"206",139136,4,11
"207",139494,4,4
"208",141454,6,15
"209",141627,5,9
"210",142850,4,5
"211",143642,1,1
"212",145033,6,17
"213",145554,3,10
"214",146026,18,21
"215",147936,6,15
"216",148706,7,7
"217",149152,2,3
"218",150825,9,10
"219",152171,3,9
"220",153033,2,8
"221",153077,4,5
"222",153490,2,3
"223",153572,8,8
"224",153608,6,9
"225",155660,18,26
"226",156522,10,16
"227",156698,1,5
"228",157075,4,17
"229",157677,0,7
"230",157748,10,12
"231",158049,12,21
"232",158671,2,8
"233",158783,3,6
"234",159208,10,12
"235",159994,0,2
"236",160405,8,11
"237",160502,10,21
"238",162091,6,21
"239",162267,10,11
"240",162271,3,9
"241",162326,7,8
"242",162949,20,25
"243",163157,3,5
"244",164848,14,28
"245",165335,7,9
"246",165393,3,9
"247",166062,11,17
"248",169060,5,5
"249",169979,0,2
"250",171135,7,16
"251",171175,4,6
"252",171574,17,22
"253",171617,18,20
"254",172904,3,5
"255",173274,1,5
"256",174317,32,35
"257",174571,3,12
"258",174610,1,3
"259",175915,5,5
"260",176414,7,8
"261",176720,6,7
"262",177006,6,8
"263",177701,9,12
"264",177873,4,6
"265",177928,1,1
"266",178283,13,14
"267",178518,2,3
"268",179255,3,9
"269",179504,3,7
"270",179599,16,31
"271",180473,2,6
"272",181925,16,16
"273",182443,10,15
"274",182916,8,14
"275",184848,7,8
"276",185195,3,3
"277",185809,2,2
"278",185951,6,8
"279",186231,10,10
"280",186472,13,21
"281",187359,8,8
"282",187405,18,23
"283",188277,33,43
"284",188856,1,10
"285",189614,7,12
"286",189982,1,1
"287",190042,11,17
"288",190227,4,10
"289",192444,13,13
"290",192996,7,17
"291",193178,5,14
"292",195879,1,13
"293",196029,5,5
"294",196354,13,17
"295",196504,11,20
"296",196530,2,2
"297",197936,0,3
"298",202277,15,20
"299",203660,6,9
"300",205276,3,5
"301",205425,20,24
"302",205702,6,9
"303",206368,1,5
"304",206427,7,9
"305",207309,7,13
"306",207567,4,5
"307",207861,21,31
"308",207996,2,7
"309",208177,3,11
"310",209589,15,20
"311",210336,7,12
"312",211409,3,3
"313",213367,2,5
"314",214176,0,1
"315",214536,3,3
"316",215920,3,3
"317",216091,13,16
"318",218966,1,2
"319",219182,4,8
"320",219613,9,13
"321",219841,5,19
"322",220707,13,15
"323",221464,16,26
"324",221973,4,5
"325",223655,32,42
"326",223842,7,12
"327",225146,0,4
"328",225530,20,26
"329",225716,17,34
"330",226533,2,2
"331",227647,6,7
"332",228284,8,9
"333",228323,1,19
"334",228859,13,16
"335",229736,3,4
"336",229841,26,33
"337",229843,1,13
"338",231241,6,9
"339",231433,1,1
"340",231816,8,8
"341",232023,8,13
"342",232792,18,19
"343",232847,2,6
"344",233131,1,1
"345",233536,14,30
"346",234520,2,4
"347",234769,6,17
"348",237811,4,4
"349",237916,11,16
"350",238181,6,12
"351",238690,0,3
"352",239010,0,6
"353",239139,1,6
"354",239592,14,15
"355",242108,9,17
"356",242330,6,7
"357",245080,12,18
"358",245256,4,9
"359",245824,2,6
"360",246129,10,11
"361",248661,17,21
"362",248792,0,4
"363",249611,2,9
"364",251891,8,18
"365",251964,12,21
"366",252187,3,3
"367",252617,3,17
"368",254069,18,23
"369",254466,3,5
"370",254479,1,4
"371",255356,4,8
"372",256139,3,20
"373",256922,3,11
"374",257554,7,15
"375",258315,2,8
"376",258903,10,12
"377",259073,9,10
"378",259077,2,6
"379",259524,6,11
"380",262140,14,14
"381",263927,8,18
"382",264305,1,3
"383",264629,1,8
"384",265118,5,8
"385",266659,2,4
"386",267014,6,8
"387",270152,1,20
"388",270758,4,14
"389",271949,2,9
"390",272905,7,7
"391",273404,3,3
"392",274300,8,12
"393",274306,2,3
"394",275450,0,1
"395",275897,2,2
"396",275992,3,6
"397",276243,18,19
"398",277334,3,6
"399",277347,1,8
"400",277578,2,6
"401",277782,10,10
"402",278713,0,1
"403",279312,1,1
"404",279846,1,11
"405",280595,8,30
"406",282110,9,10
"407",283109,11,16
"408",283346,14,17
"409",283403,8,21
"410",283408,19,19
"411",284068,2,4
"412",284822,6,6
"413",285605,8,9
"414",286303,3,3
"415",286826,12,15
"416",288246,4,10
"417",288274,7,9
"418",288742,1,1
"419",288813,3,7
"420",289882,4,4
"421",290526,4,4
"422",290830,6,6
"423",292013,8,8
"424",293214,0,5
"425",296768,0,3
"426",296861,6,7
"427",297146,4,5
"428",299902,2,13
"429",300089,2,9
"430",300189,5,8
"431",301627,4,7
"432",302981,7,26
"433",304183,8,12
"434",305163,18,22
"435",305279,1,1
"436",305985,10,15
"437",306045,3,5
"438",306147,2,15
"439",306530,1,7
"440",306737,0,4
"441",307089,1,1
"442",307281,1,11
"443",307282,8,9
"444",307401,2,4
"445",308672,2,2
"446",308771,4,10
"447",310849,1,6
"448",311417,6,15
"449",312162,2,2
"450",312654,12,16
"451",312704,12,23
"452",313756,12,13
"453",314046,7,13
"454",316271,10,20
"455",317225,1,1
"456",317439,3,7
"457",317646,16,19
"458",317809,5,6
"459",317922,6,10
"460",320138,2,6
"461",321016,4,8
"462",321733,11,20
"463",321948,1,21
"464",323822,6,17
"465",325077,9,16
"466",329163,3,7
"467",329466,6,7
"468",330681,16,30
"469",331719,9,9
"470",332116,1,6
"471",334327,5,7
"472",336455,9,14
"473",336978,11,20
"474",337801,6,10
"475",338979,3,4
"476",340040,4,10
"477",341776,13,24
"478",346060,8,11
"479",346362,2,4
"480",347347,5,12
"481",350217,2,2
"482",351633,2,8
"483",353087,0,1
"484",353530,5,14
"485",354967,7,7
"486",356327,2,2
"487",356910,7,13
"488",356929,9,18
"489",357394,6,9
"490",357659,2,6
"491",358374,9,27
"492",358437,1,1
"493",358668,6,8
"494",358814,4,6
"495",358979,2,12
"496",359518,6,12
"497",359982,3,14
"498",360065,3,4
"499",360266,12,17
"500",360710,12,12
"501",360755,18,19
"502",360796,3,5
"503",361517,3,14
"504",361914,13,21
"505",363596,5,5
"506",364411,1,2
"507",365970,3,9
"508",366534,4,10
"509",366964,3,3
"510",367244,9,22
"511",367568,7,12
"512",367823,1,1
"513",368002,0,5
"514",368152,3,7
"515",368831,10,12
"516",369001,2,5
"517",369192,25,30
"518",370312,4,7
"519",371205,22,22
"520",372193,9,12
"521",373322,5,6
"522",373880,7,18
"523",375057,2,9
"524",376655,9,12
"525",377642,19,29
"526",377864,12,12
"527",378762,1,6
"528",378856,5,6
"529",379089,2,3
"530",381120,5,9
"531",384947,17,25
"532",386672,2,9
"533",386889,11,14
"534",389131,5,6
"535",389519,0,1
"536",389736,6,7
"537",390113,5,9
"538",391215,10,16
"539",391970,8,14
"540",392248,4,14
"541",392626,9,12
"542",393046,2,2
"543",393980,10,11
"544",394276,9,10
"545",394357,6,11
"546",395090,1,1
"547",395345,4,4
"548",395696,6,11
"549",395877,5,13
"550",396334,1,9
"551",396452,2,6
"552",397428,6,18
"553",398058,3,25
"554",398433,2,10
"555",398543,5,5
"556",399738,16,19
"557",400055,5,11
"558",401259,8,10
"559",401306,2,2
