"","order_id","reorders","products","order_hour_of_day","days_since_prior_order","order_dow","Mon","Tue","Wed","Thu","Fri","Sat","Sun"
"1",1580,13,13,18,6,4,0,0,0,1,0,0,0
"2",9478,12,13,15,5,1,1,0,0,0,0,0,0
"3",12275,10,14,9,7,6,0,0,0,0,0,1,0
"4",18160,3,14,15,30,0,0,0,0,0,0,0,1
"5",25024,1,6,17,30,1,1,0,0,0,0,0,0
"6",26271,4,4,14,30,2,0,1,0,0,0,0,0
"7",28697,2,2,12,30,3,0,0,1,0,0,0,0
"8",30501,13,14,13,9,4,0,0,0,1,0,0,0
"9",31663,3,4,9,9,5,0,0,0,0,1,0,0
"10",32477,18,25,13,6,6,0,0,0,0,0,1,0
"11",39707,0,16,8,NA,0,0,0,0,0,0,0,1
"12",39816,7,7,17,2,4,0,0,0,1,0,0,0
"13",43691,7,7,22,2,1,1,0,0,0,0,0,0
"14",53620,0,17,18,NA,5,0,0,0,0,1,0,0
"15",55401,0,6,18,NA,5,0,0,0,0,1,0,0
"16",56133,1,1,10,15,0,0,0,0,0,0,0,1
"17",59874,1,1,13,30,6,0,0,0,0,0,1,0
"18",63491,7,7,12,7,0,0,0,0,0,0,0,1
"19",65012,14,19,18,30,0,0,0,0,0,0,0,1
"20",66596,4,4,17,4,4,0,0,0,1,0,0,0
"21",66908,9,12,17,7,5,0,0,0,0,1,0,0
"22",75481,7,14,10,5,1,1,0,0,0,0,0,0
"23",80846,4,5,15,4,3,0,0,1,0,0,0,0
"24",83016,4,5,9,12,3,0,0,1,0,0,0,0
"25",86415,9,9,14,5,1,1,0,0,0,0,0,0
"26",97940,0,4,15,NA,2,0,1,0,0,0,0,0
"27",101907,4,6,22,30,2,0,1,0,0,0,0,0
"28",102207,17,27,7,22,2,0,1,0,0,0,0,0
"29",108821,4,6,12,5,6,0,0,0,0,0,1,0
"30",114865,9,19,10,12,4,0,0,0,1,0,0,0
"31",120465,20,20,13,4,5,0,0,0,0,1,0,0
"32",123271,2,4,12,3,6,0,0,0,0,0,1,0
